FDHI ID,Earthquake,Date,Magnitude,Style,Hypocenter lat,Hypocenter lon,Feature,Breached or unbreached,Type (releasing or restraining),Type (single or double),Distance splay or double bend (m),Length (m) or angle (deg),Spacing double bend (m),Type (length or angle),Location along rupture,Total rupture length,Normalized location,Distance to epicenter,Slip at gate (m),Normalized slip at gate,UTM zone,Cumulative displacement
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,12.0813457705779,0,angle,89929.9993814512,199115.277475184,0.451647912313807,73229.3885962987,8.5,0.53125,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,7.68159249048358,0,angle,92539.9993737184,199115.277475184,0.464755896921329,70602.4562436932,10.9,0.68125,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,releasing,double,622.357911604156,9.70940126942994,47.6451022806407,angle,95429.9993352183,199115.277475184,0.479270101949419,67745.0456979328,13.107509,0.8192193125,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,2.64789745829555,0,angle,100879.999282853,199115.277475184,0.506641180737253,62422.816714433,12.254583,0.7659114375,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,18.5103621650745,0,angle,111409.99914066,199115.277475184,0.559525118079124,51939.1298451093,2.5,0.15625,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,23.1597380925144,0,angle,110519.999151711,199115.277475184,0.555055345592381,52792.5322768713,12.04617,0.752885625,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,6.01662707284206,0,angle,118099.999037087,199115.277475184,0.593123744870887,45246.8954353804,12.045221,0.7528263125,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,7.71185846142652,0,angle,125359.9989701,199115.277475184,0.629585035159966,38007.3988851452,11.907127,0.7441954375,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,3.34174159293003,0,angle,135609.998885609,199115.277475184,0.681062752216538,27740.4436882207,11.2,0.7,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,6.08487615427144,0,angle,143669.99873421,199115.277475184,0.721541815153362,19955.9967414164,11.6,0.725,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,12.463079128841,0,angle,151499.998605884,199115.277475184,0.760865768447954,12966.9957793536,9.6,0.6,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,restraining,double,697.044622964843,17.6614596058386,157.123993400571,angle,154869.998581701,199115.277475184,0.777790637390959,10421.7119953377,10.6,0.6625,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,30.4134016401862,0,angle,163729.998541355,199115.277475184,0.822287473957194,7957.25107631235,5.6,0.35,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,13.6281302546122,0,angle,164989.998532679,199115.277475184,0.82861546650152,8147.03937652239,5.4,0.3375,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,29.4230246151754,0,angle,166139.998518149,199115.277475184,0.834391015219086,8672.85737731093,5.3,0.33125,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,1.882785976714,0,angle,168979.998492506,199115.277475184,0.848654109494767,10421.4104941671,6.860958,0.428809875,41N,450
4,Balochistan,'2013-09-24',7.7,Strike-Slip,26.951,65.501,bend,breached,NaN,single,0,4.17536951172077,0,angle,173629.998408206,199115.277475184,0.872007415050538,13911.2391149597,6.958457,0.4349035625,41N,450
6,Borrego,'1968-04-09',6.63,Strike-Slip,33.189,-116.143,bend,breached,NaN,single,0,8.30040901762247,0,angle,29379.9737377218,31546.4857015686,0.931323191294837,4015.81486548704,0.18,0.469636683843194,11N,NaN
6,Borrego,'1968-04-09',6.63,Strike-Slip,33.189,-116.143,bend,breached,NaN,single,0,18.9855444107099,0,angle,27509.9754847747,31546.4857015686,0.872045645433236,2601.58864304743,0.36,0.939273367686387,11N,NaN
6,Borrego,'1968-04-09',6.63,Strike-Slip,33.189,-116.143,bend,breached,NaN,single,0,31.209737727159,0,angle,26189.9756113507,31546.4857015686,0.830202636804278,2061.6336444425,0.36,0.939273367686387,11N,NaN
6,Borrego,'1968-04-09',6.63,Strike-Slip,33.189,-116.143,bend,breached,NaN,single,0,13.615748585563,0,angle,25889.975841972,31546.4857015686,0.820692868514502,1937.05230957863,0.36,0.939273367686387,11N,NaN
6,Borrego,'1968-04-09',6.63,Strike-Slip,33.189,-116.143,bend,breached,releasing,double,845.257381408063,25.2248728060328,360.37942662583,angle,23929.9786816335,31546.4857015686,0.758562424607684,2827.94163840237,NaN,NaN,11N,NaN
6,Borrego,'1968-04-09',6.63,Strike-Slip,33.189,-116.143,bend,breached,NaN,single,0,10.3989401914132,0,angle,18239.989194894,31546.4857015686,0.578194013984483,7258.82573807239,0.1,0.260909268801774,11N,NaN
6,Borrego,'1968-04-09',6.63,Strike-Slip,33.189,-116.143,bend,breached,releasing,double,713.577663325808,17.9736382591669,272.536763767886,angle,15289.99387723,31546.4857015686,0.484681369008077,10263.4823859184,0.098489,0.256966929750179,11N,NaN
6,Borrego,'1968-04-09',6.63,Strike-Slip,33.189,-116.143,bend,breached,NaN,single,0,17.8984203396876,0,angle,11279.9948166541,31546.4857015686,0.357567398263106,14256.3502961763,0.18,0.469636683843194,11N,NaN
6,Borrego,'1968-04-09',6.63,Strike-Slip,33.189,-116.143,bend,breached,NaN,single,0,15.6935103227513,0,angle,9739.99545504482,31546.4857015686,0.308750570418071,15821.7277616861,NaN,NaN,11N,NaN
6,Borrego,'1968-04-09',6.63,Strike-Slip,33.189,-116.143,bend,breached,NaN,single,0,19.6004470647057,0,angle,8549.99571332072,31546.4857015686,0.271028468724033,16975.1766054532,NaN,NaN,11N,NaN
36,ChalfantValley,'1986-07-21',6.19,Strike-Slip,37.5383,-118.443,bend,breached,releasing,double,1492.17232260312,23.3077582074946,638.343145326866,angle,14059.9636134664,14207.5427349576,0.989612621672567,18218.0141011654,0.01,0.210526315789474,11N,20
21,Darfield,'2010-09-03',7,Strike-Slip,-43.615,172.049,bend,breached,restraining,double,1144.35386090614,20.4765829703329,361.268817650274,angle,3519.99689768402,28896.3939931895,0.121814400042913,2848.97597480333,1.856071,0.268995797101449,59S,NaN
21,Darfield,'2010-09-03',7,Strike-Slip,-43.615,172.049,bend,breached,NaN,single,0,2.9889963323025,0,angle,10749.990802074,28896.3939931895,0.372018418789821,8808.29637292773,6.5,0.942028985507246,59S,NaN
21,Darfield,'2010-09-03',7,Strike-Slip,-43.615,172.049,bend,breached,NaN,single,0,17.3602400150382,0,angle,13469.9907405651,28896.3939931895,0.466147808745264,11422.0518659879,6.46,0.936231884057971,59S,NaN
21,Darfield,'2010-09-03',7,Strike-Slip,-43.615,172.049,bend,breached,releasing,double,978.685712050173,13.9089894273175,241.074682788782,angle,15959.9903665382,28896.3939931895,0.552317717231421,13883.7791386336,6.1,0.884057971014493,59S,NaN
21,Darfield,'2010-09-03',7,Strike-Slip,-43.615,172.049,bend,breached,restraining,double,454.767304179139,16.0463751813336,100.147567265709,angle,27089.9884112256,28896.3939931895,0.937486816438421,24969.8604414763,1.7,0.246376811594203,59S,NaN
21,Darfield,'2010-09-03',7,Strike-Slip,-43.615,172.049,bend,breached,restraining,double,237.392799043847,19.1496476399033,84.9761054759036,angle,23089.9888138089,28896.3939931895,0.799061253776193,21006.8608023677,1.520691,0.22039,59S,NaN
21,Darfield,'2010-09-03',7,Strike-Slip,-43.615,172.049,bend,breached,NaN,single,0,12.5537793670612,0,angle,17569.98987624,28896.3939931895,0.608033994843126,15498.648741842,6.9,1,59S,NaN
21,Darfield,'2010-09-03',7,Strike-Slip,-43.615,172.049,bend,breached,restraining,double,460.661389591193,13.9751817295267,127.887679433858,angle,6159.99137131663,28896.3939931895,0.213175089347427,4468.34382094641,4.98,0.721739130434783,59S,NaN
21,Darfield,'2010-09-03',7,Strike-Slip,-43.615,172.049,bend,breached,restraining,double,1027.28467144607,8.38508967051306,138.191691003661,angle,8729.99098102161,28896.3939931895,0.302113508802487,6797.05118564959,4.04,0.585507246376812,59S,NaN
